country,year,SHADOW (author: WB Informal Economy DB - DGE),SHADOW_MIMIC (author: MIMIC series),TAX,ACCOUNT,DIGPAY,"ATM_per100k (WB, real)",POS_ATM (author: add POS from IMF FAS),CASHLESS_VAL (author: IMF FAS),"CASH (author: currency/M2, IFS/central bank)",GDPPC_USD,OPEN,UNEMP,INFL,REMIT,URBAN,MOBILE,REG_QUALITY,RULE_OF_LAW,INST,MOBILE_COVERAGE (author: ITU),BROADBAND
Belarus,2019,,,13.3015,,,54.9042,,,,6267.7351,130.8504,4.165,5.5982,2.2028,77.4551,123.2298,-0.5076,-0.7942,-0.6509,,34.0724
Belarus,2020,,,12.0229,,,55.8414,,,,6251.989,118.9342,4.049,5.5481,1.6517,77.789,125.1647,-0.6831,-0.8602,-0.7716,,34.8152
Belarus,2021,,,12.825,,,57.3866,,,,6457.7305,136.0142,3.9,9.4603,1.9583,78.1311,127.1173,-0.7943,-1.0673,-0.9308,,35.0098
Belarus,2022,,,11.2335,,,55.4221,,,,6206.6191,120.0242,3.574,15.2097,2.519,78.4733,128.315,-1.0761,-1.1591,-1.1176,,34.0672
Bosnia and Herzegovina,2004,,,,,,,,,,3063.8354,81.8127,29.279,,20.2156,43.838,33.9881,-0.3931,-0.4638,-0.4284,,0.1603
Bosnia and Herzegovina,2005,,,19.8861,,,,,,,3217.8134,84.3555,30.218,,18.1571,44.1571,38.9203,-0.3843,-0.5021,-0.4432,,0.3345
Bosnia and Herzegovina,2006,,,21.69,,,14.4894,,,,3419.7589,79.8299,31.11,6.1256,16.704,44.4753,46.4606,-0.3027,-0.4336,-0.3681,,0.9844
Bosnia and Herzegovina,2007,,,21.3943,,,19.4427,,,,3665.0897,83.5519,28.984,1.5008,17.0255,44.7926,61.0557,-0.274,-0.4151,-0.3446,,2.1102
Bosnia and Herzegovina,2008,,,20.3021,,,27.1123,,,,3929.033,86.1629,23.405,7.427,14.2191,45.1091,80.532,-0.208,-0.4659,-0.3369,,4.7741
Bosnia and Herzegovina,2009,,,18.9463,,,41.4185,,,,3877.5354,73.7475,24.068,-0.3815,12.0758,45.4246,83.9539,-0.2086,-0.3865,-0.2975,,7.5291
Bosnia and Herzegovina,2010,,,19.6857,,,34.1224,,,,3981.2099,80.9682,27.312,1.9962,10.6094,45.7392,81.6019,-0.2414,-0.3712,-0.3063,,10.2559
Bosnia and Herzegovina,2011,,,20.3057,56.2116,,37.9765,,,,4094.2533,87.8363,27.582,3.6713,10.5031,46.0529,84.7529,-0.2716,-0.4173,-0.3445,,11.4984
Bosnia and Herzegovina,2012,,,20.4775,,,41.2194,,,,4139.9173,88.1451,28.01,2.0527,10.7142,46.3656,91.4833,-0.2052,-0.1319,-0.1685,,12.7897
Bosnia and Herzegovina,2013,,,19.7515,,,44.4544,,,,4306.7318,87.9312,27.49,-0.093,10.7705,46.6954,96.6063,-0.2014,-0.125,-0.1632,,14.2931
Bosnia and Herzegovina,2014,,,19.7779,52.685,33.0813,46.7779,,,,4412.6762,90.5523,27.517,-0.8972,11.3539,47.1308,97.9342,-0.1859,-0.0895,-0.1377,,15.2155
Bosnia and Herzegovina,2015,,,19.7,,,50.031,,,,4662.2587,88.292,27.695,-1.036,10.9795,47.5712,97.8678,-0.2509,-0.2308,-0.2409,,18.0469
Bosnia and Herzegovina,2016,,,19.7137,,,50.6911,,,,4876.5347,88.244,25.408,-1.584,10.7846,48.0249,98.0144,-0.2439,-0.2095,-0.2267,,19.0748
Bosnia and Herzegovina,2017,,,19.9877,58.8435,50.2657,52.1703,,,,5099.816,96.6459,20.527,0.81,11.0053,48.4918,100.3326,-0.1684,-0.3294,-0.2489,,20.4261
Bosnia and Herzegovina,2018,,,20.141,,,54.1975,,,,5360.252,98.4321,18.4,1.4171,11.047,48.9719,102.1865,-0.3158,-0.3211,-0.3185,,21.1505
Bosnia and Herzegovina,2019,,,19.8266,,,56.7921,,,,5583.2972,94.5161,15.692,0.5628,11.3881,49.465,112.2548,-0.3767,-0.3905,-0.3836,,22.295
